"","habitat","tail.spines"
"Eugongylus_albofasciolatus","non-saxicolous","non-spiny"
"Eulamprus_brachyosoma","saxicolous","non-spiny"
"Eulamprus_luteilateralis","non-saxicolous","non-spiny"
"Eulamprus_tenuis","saxicolous","non-spiny"
"Eulamprus_tympanum","saxicolous","non-spiny"
"Euleptes_europaea","saxicolous","non-spiny"
"Eumeces_schneideri","non-saxicolous","non-spiny"
"Euprepiophis_mandarina","non-saxicolous","non-spiny"
"Eurydactylodes_symmetricus","non-saxicolous","non-spiny"
"Eutropis_macularia","non-saxicolous","non-spiny"
"Exiliboa_placata","non-saxicolous","non-spiny"
"Farancia_abacura","non-saxicolous","non-spiny"
"Ficimia_streckeri","non-saxicolous","non-spiny"
"Furcifer_angeli","non-saxicolous","non-spiny"
"Furcifer_cephalolepis","non-saxicolous","non-spiny"
"Furcifer_minor","non-saxicolous","non-spiny"
"Furcifer_verrucosus","non-saxicolous","non-spiny"
"Furina_diadema","non-saxicolous","non-spiny"
"Furina_ornata","non-saxicolous","non-spiny"
"Gallotia_atlantica","non-saxicolous","non-spiny"
"Gallotia_gomerana","non-saxicolous","non-spiny"
"Gambelia_sila","non-saxicolous","non-spiny"
"Gastropholis_prasina","non-saxicolous","non-spiny"
"Gehyra_koira","saxicolous","non-spiny"
"Gehyra_minuta","saxicolous","non-spiny"
"Gehyra_occidentalis","saxicolous","non-spiny"
"Gekko_romblon","non-saxicolous","non-spiny"
"Gekko_smithii","non-saxicolous","non-spiny"
"Geocalamus_acutus","non-saxicolous","non-spiny"
"Geophis_carinosus","non-saxicolous","non-spiny"
"Gerrhosaurus_nigrolineatus","non-saxicolous","non-spiny"
"Gerrhosaurus_skoogi","non-saxicolous","non-spiny"
"Gloydius_shedaoensis","non-saxicolous","non-spiny"
"Gonatodes_albogularis","saxicolous","non-spiny"
"Gonatodes_daudini","non-saxicolous","non-spiny"
"Gonocephalus_grandis","non-saxicolous","non-spiny"
"Gonyosoma_oxycephalum","non-saxicolous","non-spiny"
"Helicops_angulatus","non-saxicolous","non-spiny"
"Helicops_gomesi","non-saxicolous","non-spiny"
"Hemidactylus_bouvieri","non-saxicolous","non-spiny"
"Hemidactylus_forbesii","non-saxicolous","non-spiny"
"Hemidactylus_homoeolepis","non-saxicolous","non-spiny"
"Hemidactylus_oxyrhinus","non-saxicolous","non-spiny"
"Hemidactylus_turcicus","non-saxicolous","non-spiny"
"Hemiergis_quadrilineatum","non-saxicolous","non-spiny"
"Heterodon_simus","non-saxicolous","non-spiny"
"Heteronotia_binoei","non-saxicolous","non-spiny"
"Holbrookia_lacerata","non-saxicolous","non-spiny"
"Holbrookia_propinqua","non-saxicolous","non-spiny"
"Homonota_fasciata","non-saxicolous","non-spiny"
"Homoroselaps_lacteus","non-saxicolous","non-spiny"
"Hydrophis_lapemoides","non-saxicolous","non-spiny"
"Hydrophis_macdowelli","non-saxicolous","non-spiny"
"Hydrophis_melanocephalus","non-saxicolous","non-spiny"
"Hydrophis_ornatus","non-saxicolous","non-spiny"
"Hypsiglena_torquata","non-saxicolous","non-spiny"
"Hypsilurus_bruijnii","non-saxicolous","non-spiny"
"Hypsilurus_papuensis","non-saxicolous","non-spiny"
"Iberolacerta_aranica","saxicolous","non-spiny"
"Iguana_delicatissima","non-saxicolous","non-spiny"
"Iranolacerta_zagrosica","non-saxicolous","non-spiny"
"Ithycyphus_oursi","non-saxicolous","non-spiny"
"Japalura_variegata","saxicolous","non-spiny"
"Kinyongia_vosseleri","non-saxicolous","non-spiny"
"Lacerta_schreiberi","non-saxicolous","non-spiny"
"Lamprolepis_smaragdina","non-saxicolous","non-spiny"
"Lampropeltis_triangulum","non-saxicolous","non-spiny"
"Lampropeltis_webbi","non-saxicolous","non-spiny"
"Langaha_madagascariensis","non-saxicolous","non-spiny"
"Laudakia_caucasia","saxicolous","spiny"
"Laudakia_erythrogastra","non-saxicolous","spiny"
"Laudakia_himalayana","non-saxicolous","spiny"
"Laudakia_microlepis","non-saxicolous","spiny"
"Laudakia_nupta","saxicolous","spiny"
"Laudakia_sacra","saxicolous","spiny"
"Laudakia_stellio","saxicolous","spiny"
"Laudakia_stoliczkana","saxicolous","spiny"
"Laudakia_tuberculata","saxicolous","spiny"
"Leiocephalus_barahonensis","non-saxicolous","non-spiny"
"Leiocephalus_schreibersii","non-saxicolous","non-spiny"
"Lepidodactylus_orientalis","non-saxicolous","non-spiny"
"Lepidophyma_smithii","saxicolous","non-spiny"
"Leposoma_baturitensis","non-saxicolous","non-spiny"
"Leposoma_osvaldoi","non-saxicolous","non-spiny"
"Leposoma_percarinatum","non-saxicolous","non-spiny"
"Leposoma_southi","non-saxicolous","non-spiny"
"Leptodeira_maculata","non-saxicolous","non-spiny"
"Leptotyphlops_adleri","non-saxicolous","non-spiny"
"Leptotyphlops_algeriensis","non-saxicolous","non-spiny"
"Leptotyphlops_blanfordi","non-saxicolous","non-spiny"
"Leptotyphlops_macrolepis","non-saxicolous","non-spiny"
"Leptotyphlops_scutifrons","non-saxicolous","non-spiny"
"Lerista_bipes","non-saxicolous","non-spiny"
"Lerista_borealis","non-saxicolous","non-spiny"
"Lerista_bougainvillii","non-saxicolous","non-spiny"
"Lerista_connivens","non-saxicolous","non-spiny"
"Lerista_dorsalis","non-saxicolous","non-spiny"
"Lerista_ips","non-saxicolous","non-spiny"
"Lerista_macropisthopus","non-saxicolous","non-spiny"
"Lerista_microtis","non-saxicolous","non-spiny"
"Lerista_planiventralis","non-saxicolous","non-spiny"
"Lerista_taeniata","non-saxicolous","non-spiny"
"Lerista_uniduo","non-saxicolous","non-spiny"
"Lerista_wilkinsi","non-saxicolous","non-spiny"
"Lerista_xanthura","non-saxicolous","non-spiny"
"Lerista_zietzi","non-saxicolous","non-spiny"
"Lialis_jicari","non-saxicolous","non-spiny"
"Lichanura_trivirgata","non-saxicolous","non-spiny"
"Liolaemus_andinus","non-saxicolous","non-spiny"
"Liolaemus_atacamensis","non-saxicolous","non-spiny"
"Liolaemus_audituvelatus","non-saxicolous","non-spiny"
"Liolaemus_capillitas","saxicolous","non-spiny"
"Liolaemus_chiliensis","non-saxicolous","non-spiny"
"Liolaemus_dicktracy","saxicolous","spiny"
"Liolaemus_gravenhorstii","non-saxicolous","non-spiny"
"Liolaemus_grosseorum","non-saxicolous","non-spiny"
"Liolaemus_kingii","non-saxicolous","non-spiny"
"Liolaemus_monticola","non-saxicolous","non-spiny"
"Liolaemus_pseudolemniscatus","non-saxicolous","non-spiny"
"Liolaemus_quilmes","non-saxicolous","non-spiny"
"Liolaemus_reichei","non-saxicolous","non-spiny"
"Liolaemus_riojanus","non-saxicolous","non-spiny"
"Liolaemus_salinicola","non-saxicolous","spiny"
"Liolaemus_umbrifer","non-saxicolous","non-spiny"
"Liophis_jaegeri","non-saxicolous","non-spiny"
"Lophognathus_gilberti","non-saxicolous","non-spiny"
"Luperosaurus_iskandari","non-saxicolous","non-spiny"
"Luperosaurus_joloensis","non-saxicolous","non-spiny"
"Lycodon_capucinus","non-saxicolous","non-spiny"
"Lycophidion_ornatum","non-saxicolous","non-spiny"
"Lygisaurus_abscondita","non-saxicolous","non-spiny"
"Lygisaurus_foliorum","non-saxicolous","non-spiny"
"Lygisaurus_tanneri","non-saxicolous","non-spiny"
"Lygodactylus_blancae","non-saxicolous","non-spiny"
"Lygodactylus_expectatus","non-saxicolous","non-spiny"
"Lygodactylus_guibei","non-saxicolous","non-spiny"
"Lygodactylus_heterurus","non-saxicolous","non-spiny"
"Lygodactylus_tuberosus","non-saxicolous","non-spiny"
"Mabuya_mabouya","non-saxicolous","non-spiny"
"Mabuya_nigropunctata","non-saxicolous","non-spiny"
"Madagascarophis_colubrinus","non-saxicolous","non-spiny"
"Masticophis_taeniatus","non-saxicolous","non-spiny"
"Mastigodryas_melanolomus","non-saxicolous","non-spiny"
"Melanophidium_punctatum","non-saxicolous","non-spiny"
"Melanoseps_ater","non-saxicolous","non-spiny"
"Mesalina_balfouri","non-saxicolous","non-spiny"
"Microlophus_occipitalis","non-saxicolous","non-spiny"
"Moloch_horridus","non-saxicolous","spiny"
"Morelia_oenpelliensis","non-saxicolous","non-spiny"
"Morunasaurus_annularis","non-saxicolous","spiny"
"Myron_richardsonii","non-saxicolous","non-spiny"
"Nactus_pelagicus","non-saxicolous","non-spiny"
"Nannoscincus_garrulus","non-saxicolous","non-spiny"
"Nannoscincus_humectus","non-saxicolous","non-spiny"
"Nannoscincus_mariei","non-saxicolous","non-spiny"
"Naultinus_grayii","non-saxicolous","non-spiny"
"Naultinus_rudis","non-saxicolous","non-spiny"
"Naultinus_stellatus","non-saxicolous","non-spiny"
"Nephrurus_amyae","non-saxicolous","non-spiny"
"Nephrurus_levis","non-saxicolous","non-spiny"
"Nerodia_floridana","non-saxicolous","non-spiny"
"Nerodia_taxispilota","non-saxicolous","non-spiny"
"Oligodon_arnensis","non-saxicolous","non-spiny"
"Oligodon_formosanus","non-saxicolous","non-spiny"
"Oligosoma_grande","saxicolous","non-spiny"
"Oligosoma_homalonotum","non-saxicolous","non-spiny"
"Omanosaura_jayakari","non-saxicolous","non-spiny"
"Opisthotropis_latouchii","non-saxicolous","non-spiny"
"Oplurus_cuvieri","non-saxicolous","spiny"
"Oplurus_cyclurus","non-saxicolous","spiny"
"Oplurus_fierinensis","saxicolous","spiny"
"Oplurus_grandidieri","saxicolous","spiny"
"Oplurus_quadrimaculatus","saxicolous","spiny"
"Orraya_occultus","non-saxicolous","non-spiny"
"Oxybelis_aeneus","non-saxicolous","non-spiny"
"Oxyrhopus_clathratus","non-saxicolous","non-spiny"
"Pamelaescincus_gardineri","non-saxicolous","non-spiny"
"Pantherophis_bairdi","non-saxicolous","non-spiny"
"Paracontias_brocchii","non-saxicolous","non-spiny"
"Paracontias_manify","non-saxicolous","non-spiny"
"Paracontias_rothschildi","non-saxicolous","non-spiny"
"Paragehyra_gabriellae","saxicolous","non-spiny"
"Parias_hageni","non-saxicolous","non-spiny"
"Paroedura_homalorhina","saxicolous","non-spiny"
"Paroedura_tanjaka","non-saxicolous","non-spiny"
"Paroedura_vazimba","non-saxicolous","non-spiny"
"Pelamis_platura","non-saxicolous","non-spiny"
"Phelsuma_hielscheri","non-saxicolous","non-spiny"
"Phelsuma_klemmeri","non-saxicolous","non-spiny"
"Phelsuma_laticauda","non-saxicolous","non-spiny"
"Phelsuma_mutabilis","non-saxicolous","non-spiny"
"Phrynosoma_asio","non-saxicolous","spiny"
"Phrynosoma_blainvillii","non-saxicolous","spiny"
"Phrynosoma_cerroense","non-saxicolous","spiny"
"Phrynosoma_cornutum","non-saxicolous","non-spiny"
"Phrynosoma_coronatum","non-saxicolous","spiny"
"Phrynosoma_douglassii","non-saxicolous","spiny"
"Phrynosoma_hernandesi","non-saxicolous","spiny"
"Phrynosoma_mcallii","non-saxicolous","spiny"
"Phrynosoma_orbiculare","non-saxicolous","spiny"
"Phrynosoma_solare","non-saxicolous","spiny"
"Phyllodactylus_bugastrolepis","non-saxicolous","non-spiny"
"Phyllodactylus_xanti","saxicolous","non-spiny"
"Phymaturus_antofagastensis","saxicolous","spiny"
"Phymaturus_dorsimaculatus","saxicolous","spiny"
"Phymaturus_indistinctus","saxicolous","spiny"
"Phymaturus_mallimaccii","saxicolous","spiny"
"Phymaturus_palluma","saxicolous","spiny"
"Phymaturus_patagonicus","saxicolous","spiny"
"Phymaturus_punae","saxicolous","spiny"
"Phymaturus_somuncurensis","saxicolous","spiny"
"Physignathus_lesueurii","non-saxicolous","non-spiny"
"Platysaurus_intermedius","saxicolous","non-spiny"
"Plestiodon_brevirostris","non-saxicolous","non-spiny"
"Plestiodon_dugesii","non-saxicolous","non-spiny"
"Plestiodon_inexpectatus","non-saxicolous","non-spiny"
"Plestiodon_skiltonianus","non-saxicolous","non-spiny"
"Podarcis_bocagei","non-saxicolous","non-spiny"
"Polemon_acanthias","non-saxicolous","non-spiny"
"Pristidactylus_scapulatus","non-saxicolous","non-spiny"
"Pristurus_minimus","non-saxicolous","non-spiny"
"Protobothrops_cornutus","non-saxicolous","non-spiny"
"Psammophis_angolensis","non-saxicolous","non-spiny"
"Psammophis_orientalis","non-saxicolous","non-spiny"
"Psammophis_sudanensis","non-saxicolous","non-spiny"
"Pseudemoia_pagenstecheri","non-saxicolous","non-spiny"
"Pseudoboa_coronata","non-saxicolous","non-spiny"
"Quedenfeldtia_trachyblepharus","saxicolous","non-spiny"
"Rhacodactylus_sarasinorum","non-saxicolous","non-spiny"
"Rhadinaea_flavilata","non-saxicolous","non-spiny"
